,System,S2: 5 carbons,S2: 8 carbons,S2: 11 carbons,S2: 14 carbons,S2: 17 carbons,S2 Err: 5 carbons,S2 Err: 8 carbons,S2 Err: 11 carbons,S2 Err: 14 carbons,S2 Err: 17 carbons
0,acetyl - acetyl,0.7129878183759135,0.8101018437450367,0.9018254434580051,0.9388654262692292,0.9592994925637248,0.023675110309791778,0.033315062443159335,0.022148836005075168,0.01493426605777907,0.013628659237142727
1,amino - amino,0.6540585253364716,0.8163700223509125,0.9038932305167556,0.942962273861238,0.9614061637628522,0.03308049624953019,0.027422305666281576,0.02868831907094243,0.012316911997879956,0.010806335574148397
2,carboxyl - carboxyl,0.7418436158133555,0.8625578682500358,0.9231637480170967,0.9581787184509096,0.9706696978776892,0.02484264821785496,0.03062888128535918,0.017861241242023127,0.010032554889300523,0.008821604739196326
3,cyano - cyano,0.6987734442214323,0.8253292143206286,0.8892150518601779,0.9361153735027095,0.9590290297093805,0.03600329052995319,0.03012857014749036,0.02519229109098432,0.014586770989670515,0.00902078002940005
4,cyclopropyl - cyclopropyl,0.7427972753808963,0.8120995049742596,0.8930488843741891,0.9328486445952002,0.9547865398650204,0.0270838018089725,0.01759226080145544,0.022416443848825948,0.02370125028341378,0.013968463348991579
5,ethylene - ethylene,0.7017204488081458,0.8193419431838509,0.9014788832944503,0.9333376091981078,0.9552723689390635,0.0285942175297098,0.020330293441888306,0.023044418401746782,0.014378743948579865,0.01095093437910589
6,fluorophenyl - fluorophenyl,0.7817575061430133,0.8232550358510669,0.8908842404255438,0.907272347045225,0.9424598774901425,0.030671278361488467,0.019410865631302274,0.013080080332254477,0.015126268185908657,0.012608592182336452
7,hydroxyl - hydroxyl,0.6559317205149429,0.84246343531497,0.9108416245393147,0.9486742202260565,0.9658264637770465,0.01333667953267443,0.028988374865982353,0.013601484760875169,0.009244813207133084,0.006960118968904252
8,isopropyl - isopropyl,0.7505272365331803,0.8101922974699758,0.8620786108296532,0.9135921647007297,0.9508150057153111,0.01786704967298606,0.02109290826881596,0.023838916874372795,0.01922896679027316,0.024473882148250355
9,methoxy - methoxy,0.6806171631587851,0.8149880539856454,0.8974946098993615,0.9383425684075852,0.9630938474112444,0.02738857569444431,0.02795127469089275,0.0295389302889353,0.01196418432891598,0.01063478249805582
10,methyl - methyl,0.6949345367249187,0.7963322306866345,0.8919812030478411,0.9349677247845486,0.9552223972374577,0.019998060930402174,0.03295348164473546,0.02207101406810812,0.016926017514124477,0.014885045486590101
11,nitro - nitro,0.6785372960826489,0.7998540841347263,0.8902791860116039,0.9311672345324773,0.959973826049168,0.033737631935793086,0.03497364701093892,0.02354033964911845,0.017816715987352752,0.0123181023773707
12,nitrophenyl - nitrophenyl,0.8136501034041925,0.8598732714867314,0.8945944374795308,0.9144497813612199,0.9317852949990397,0.026293620604679428,0.02013352187974023,0.01562067354139085,0.006232213895778958,0.00909151587011266
13,perfluoromethyl - perfluoromethyl,0.7137303336403157,0.8005979603565523,0.8783198585307244,0.9295253190933032,0.9576756989107521,0.026600481894533595,0.023260594450524308,0.02904640568889442,0.014497107229875433,0.013420544136374373
14,phenyl - phenyl,0.7782078931677716,0.827523673613863,0.8811328198001119,0.9308303584331006,0.9464912220516254,0.034949481454117096,0.01510326017713437,0.02106235579074318,0.011986131238216124,0.010683450575985324
15,pyrrole - pyrrole,0.7583037384200177,0.867997952586799,0.9212210648635422,0.9492497568748781,0.9715084069997699,0.02938851357785745,0.026747505730950402,0.011865124582458962,0.014392982702606692,0.0058852022120047635
