,System,F0: 5 carbons,F0: 8 carbons,F0: 11 carbons,F0: 14 carbons,F0: 17 carbons,F0 Err: 5 carbons,F0 Err: 8 carbons,F0 Err: 11 carbons,F0 Err: 14 carbons,F0 Err: 17 carbons
0,acetyl - acetyl,1.4233640132478755,1.609404948275957,1.5655059445174928,1.4431460568092238,1.2922723689752857,0.21530344943870122,0.21153710862836098,0.09709332733202607,0.12849265771607513,0.12944736065099105
1,amino - amino,3.071386615694727,3.237870994361752,3.7037958120792327,3.3283617284149924,3.273754369794227,0.23971168973408521,0.11815381403221219,0.12366944624347832,0.049713219993942064,0.14236819469549
2,carboxyl - carboxyl,5.22050224707584,6.341579724560717,6.3874819601083725,6.189002151315608,6.138687337460487,0.20998839820461704,0.16274864961433694,0.23704737220037023,0.18915522960193773,0.14622106633914614
3,cyano - cyano,3.2138493435068867,3.1948342681637305,3.063418230492017,2.3616717912571694,2.2663085583892424,0.12373149329483131,0.17861716319453805,0.1884964856131001,0.22921497969391486,0.14053276911804416
4,cyclopropyl - cyclopropyl,0.9071755815179259,0.8235043794655205,0.6941278571766467,0.5302386382556523,0.29394805200758406,0.16252046339081874,0.07180007655152328,0.19188910948762616,0.09058891334606685,0.0748775986847284
5,ethylene - ethylene,0.7412323963920849,1.0500428016801693,1.0120037395509305,0.7390342016828687,0.7551313490391187,0.5494584336088885,0.13163842058784286,0.07053009366815105,0.08465352852263106,0.09862996280532024
6,fluorophenyl - fluorophenyl,2.4099352499596707,1.8570860478269384,2.03444484697091,1.7511148644652923,1.9254337783053586,0.12986131729445693,0.10655744112407052,0.10065705187492151,0.1166083398523612,0.061288922223098535
7,hydroxyl - hydroxyl,3.9503981241372914,5.200893335908629,5.32510229303386,5.067624221690226,4.91125285431086,0.4428960270561189,0.09283341542523657,0.19055092966601708,0.14870101813079098,0.21944427665267505
8,isopropyl - isopropyl,0.4432280418643194,0.7116288641849915,0.81861067632799,0.7276193049463427,0.6380905543173562,0.5442798513327612,0.2321344888567596,0.12298481426963528,0.03989442736351496,0.22052074662659127
9,methoxy - methoxy,1.2880078129625392,1.5068595923350032,1.3804985095250153,1.2380631081787985,1.2483651278141628,0.28580559262424404,0.06502993277761683,0.08058194660171349,0.058212384179958804,0.07377338717034314
10,methyl - methyl,0.526759975273737,0.9557053280465366,0.9739200943956178,0.8479650507128877,0.7017302663771342,0.42788915958011964,0.1457294579589514,0.0939568014535343,0.10600023150014679,0.08380273344278383
11,nitro - nitro,2.383145908139636,2.533480319637943,2.3550077182591678,2.147011488691642,1.9950824356767853,0.10748652969140925,0.1049701335174541,0.2333956883688815,0.10788274051679622,0.08045890283175483
12,nitrophenyl - nitrophenyl,3.8331150652535535,3.0874549420717576,3.1157140212196146,2.73157801830636,2.9617771165204254,0.12212625604471035,0.23282406420844465,0.17235234081092574,0.2365522962985846,0.1494158848028145
13,perfluoromethyl - perfluoromethyl,0.7804111307569455,0.9147823877745278,0.8374185299402642,0.7604720124751216,0.5661041464512353,0.10798667646768009,0.06495474612842406,0.13524441124442244,0.10370605260501425,0.04345962747991094
14,phenyl - phenyl,1.5906300512857146,1.4794698299717657,1.56045342989563,1.320803069841713,1.4115874266924051,0.13583457805254243,0.07234684939967398,0.11583931783634983,0.10737528188663804,0.09133831006890164
15,pyrrole - pyrrole,2.032580080088902,2.1502333926190005,2.050137850778728,1.989542930503792,1.7002488680736327,0.184621567972238,0.18209858057696268,0.07905679792810213,0.12139771236973394,0.1398199434476987
