,System,COF: 5 carbons,COF: 8 carbons,COF: 11 carbons,COF: 14 carbons,COF: 17 carbons,COF Err: 5 carbons,COF Err: 8 carbons,COF Err: 11 carbons,COF Err: 14 carbons,COF Err: 17 carbons
0,acetyl - acetyl,0.16174863737710352,0.15861662907737403,0.1381687747687646,0.13765310292123345,0.14017410335772476,0.008441373323644868,0.013338779511818418,0.0065745830732672995,0.010000118979955695,0.013109842449100384
1,amino - amino,0.19406598957220303,0.17966155286493599,0.15229300985655275,0.14791013329183328,0.15147546725881542,0.01922568800997475,0.004415617773864179,0.01181195412918225,0.010276872816718654,0.005329332800363122
2,carboxyl - carboxyl,0.1641878152896908,0.1623246312696093,0.14187177769325404,0.13941316914864615,0.12777639424694262,0.012447187325326188,0.0175485363662278,0.011618644101321476,0.00986320614446361,0.006061524284466105
3,cyano - cyano,0.13951463126293265,0.12755565980067907,0.0978154076026665,0.09889547514239605,0.09754954030869034,0.009189338250987365,0.010421088032875192,0.017209270157140844,0.018496036116230942,0.01357162298865463
4,cyclopropyl - cyclopropyl,0.17860599269088,0.17832311679051238,0.1709167109022874,0.16462389919428871,0.17488311346611993,0.01670380829622298,0.015086703451292751,0.006077739374524701,0.008397551647345044,0.01833796240653645
5,ethylene - ethylene,0.17190014751555513,0.13471936514334817,0.12937804952312398,0.12159782013479077,0.11858123098732021,0.02339032170071425,0.008603397915801437,0.011257345987872409,0.006054508372079658,0.00828242538860315
6,fluorophenyl - fluorophenyl,0.1367128453143689,0.13030375362192742,0.11711733993548568,0.11193203148272324,0.10923113071832649,0.00731161425029416,0.007217201337328595,0.007710374341462298,0.007763572143858572,0.005493370880854607
7,hydroxyl - hydroxyl,0.2076973833403078,0.1861892455717195,0.17423263796497085,0.17400300398249827,0.15777093830995054,0.014152715179063942,0.017559652661360878,0.012299206405037035,0.005934614929605501,0.008354300239445372
8,isopropyl - isopropyl,0.17107922551150329,0.15199835325757466,0.1387578628205748,0.14061022691350553,0.13123256674822373,0.017206763513992848,0.008839450889155007,0.013241055677203888,0.01053213192541006,0.01917928304082238
9,methoxy - methoxy,0.17311600935365298,0.15918409904289435,0.1584739786435641,0.15369593119895852,0.15108471621301295,0.016078780739964448,0.006737214367659051,0.007882516991495676,0.008250251834497162,0.007772247532890875
10,methyl - methyl,0.19827533163660224,0.17785387538307032,0.16502210736528333,0.15354401234812548,0.14878964278965207,0.017882466151704555,0.011273111929527199,0.010626085249793698,0.014741864740264524,0.01622144139710904
11,nitro - nitro,0.15314043076654485,0.14180671069366424,0.12948432636732773,0.12956328672159448,0.12272299600364542,0.012675995495375673,0.009891639686883672,0.010921661067786052,0.009027229370645212,0.004464698308604717
12,nitrophenyl - nitrophenyl,0.12873175934100078,0.1333234067919538,0.12564444430420046,0.13356062520895853,0.11204039013896716,0.013175966257103645,0.01665795294045673,0.010450634154625885,0.01777877458886201,0.016524962626882266
13,perfluoromethyl - perfluoromethyl,0.16888046209964508,0.17709330550952349,0.16738247689544955,0.16962180041757713,0.1633222420392108,0.014412179187077137,0.00589873342644066,0.004521324501833726,0.012177422125505837,0.007807823629599688
14,phenyl - phenyl,0.15432725229188232,0.13234040517959822,0.128826778953819,0.13146115732998997,0.13171768208879284,0.010160440351630015,0.0020685190118738743,0.009341843038193515,0.011509148076991925,0.00876988754310939
15,pyrrole - pyrrole,0.16975247496374174,0.150204677756623,0.14617867724734374,0.13008127468683053,0.1325211950828255,0.020002303359341115,0.006749245268952815,0.009059454910066,0.011288506370966152,0.004932849636235281
