,Terminal Group 1,Terminal Group 2,COF Calculated (mean),COF Calculated (std),COF Prediction (mean),COF Prediction (std),F0 Calculated (mean),F0 Calculated (std),F0 Prediction (mean),F0 Prediction (std),SMI-H-1,SMI-H-2
0,acetyl,toluene,0.14003077365164038,0.0068674536568014205,0.12711641756907513,0.0010284080909004106,1.3045583760268074,0.16085642469803568,1.09542678484824,0.08996469994248718,C(=O)C,Cc1ccccc1
1,acetyl,phenol,0.12772472925627587,0.005991701962151059,0.13332122526071583,0.0018717460281453492,3.6273332408656684,0.40281861380330963,2.4735637607494247,0.49102367421850973,C(=O)C,c1ccc(cc1)O
2,fluorophenyl,toluene,0.13968471559160597,0.0128363103148766,0.12262911887431997,0.003029284494154914,0.9577154156765858,0.3022846228622523,1.3523496071479968,0.11121461984085862,C1=CC=C(F)C=C1,Cc1ccccc1
3,fluorophenyl,phenol,0.1341958137000786,0.005839236652614608,0.11919451556877284,0.0014533085270491259,2.7661003897814815,0.013236592141796092,1.7341201346555202,0.11543372174875323,C1=CC=C(F)C=C1,c1ccc(cc1)O
4,nitro,toluene,0.132819149148835,0.008778619686896246,0.1232614653771267,0.0018699661169497713,1.2796046110955388,1.0541827883284645,1.4600169899982238,0.08332078829526159,[N+](=O)[O-],Cc1ccccc1
5,nitro,phenol,0.14849502679688273,0.011960958372808278,0.12434062475919143,0.002031975906265708,3.408128815348249,0.13667530442494383,2.697518479777049,0.29508855035983367,[N+](=O)[O-],c1ccc(cc1)O
6,amino,toluene,0.143038403991435,0.0038696556839687697,0.1365874849975525,0.001224039436968725,1.5591201617006856,0.07096746650578048,1.154650304190493,0.06265057999443505,N,Cc1ccccc1
7,amino,phenol,0.12961863726521583,0.008903596068649745,0.1364966937523107,0.0019092895211716416,6.656139165376868,0.3328113357378814,3.0678229937847603,0.5322253282774503,N,c1ccc(cc1)O
8,methyl,toluene,0.1460538252976272,0.006776531711248064,0.13548655017230699,0.0016720483276425238,0.700288627979178,0.3741018378656705,0.8402094229751796,0.042604152634618656,C,Cc1ccccc1
9,methyl,phenol,0.13001356523113017,0.014325427594535119,0.13350972120974025,0.002382297557187111,1.1798936662022073,0.1890167366342705,0.9795600387283635,0.07500438533993842,C,c1ccc(cc1)O
10,phenyl,toluene,0.1393899967748723,0.011467361909108818,0.12871107355827047,0.0020071417548023457,0.9025853233300988,0.6173972339633784,1.3376659051538393,0.08544456329278881,C1=CC=CC=C1,Cc1ccccc1
12,ethylene,toluene,0.12892825377148945,0.01266027770943369,0.12532257129986785,0.0014204491434494314,0.8466691174522913,0.3355456470898963,1.108760590953486,0.14061795486551748,C=C,Cc1ccccc1
13,ethylene,phenol,0.11676804313415774,0.004853848812188769,0.11840988944268156,0.0019380322652354479,1.3446067843425442,0.1096035453536834,1.2496513708670993,0.14173710567698333,C=C,c1ccc(cc1)O
14,isopropyl,toluene,0.14074407987235749,0.009441202440999835,0.1302187939029324,0.0005983356291189828,1.0414973698212386,0.09080820584753914,0.8181994116833853,0.03585625358427509,C(C)C,Cc1ccccc1
15,isopropyl,phenol,0.11735167645900597,0.01017559066353682,0.1277291892489102,0.001907892560585263,1.2343374161602667,0.06913277894011609,0.9247779353194268,0.0888243113484539,C(C)C,c1ccc(cc1)O
16,nitrophenyl,toluene,0.13577268578818033,0.00575880569183139,0.12127734804603414,0.0010139528922848153,1.6684846817747445,0.33949630740338155,1.4208792931259944,0.10537102688515469,C1=CC=C([N+](=O)[O-])C=C1,Cc1ccccc1
17,nitrophenyl,phenol,0.13416852365016785,0.008968165865850737,0.1262897503369389,0.004284946124478224,3.4773346254672894,0.0916003669897615,2.6995561588151915,0.25706459785908803,C1=CC=C([N+](=O)[O-])C=C1,c1ccc(cc1)O
18,carboxyl,toluene,0.13561761667272546,0.0047648409078379856,0.12571662784919066,0.0010247020479951239,1.4675193294033544,0.0977805043339794,1.4593308661842135,0.0699016686708654,C(=O)O,Cc1ccccc1
19,carboxyl,phenol,0.12058881393740033,0.0020866021780316297,0.13275916261039292,0.0032448616398137323,6.4755598417992415,0.5323348323906147,4.169903153908292,0.6164473819475242,C(=O)O,c1ccc(cc1)O
20,perfluoromethyl,toluene,0.15071912494020467,0.01833701144250595,0.14124422837452902,0.0027870630385242556,0.419310039118935,0.5582575559667851,0.8547609960765813,0.07982238229715855,C(F)(F)F,Cc1ccccc1
21,perfluoromethyl,phenol,0.14017094392810153,0.012777843595818258,0.13785768787318417,0.0031806675309549058,1.1523402840701438,0.0644426677006629,1.038075100856664,0.07918471403049376,C(F)(F)F,c1ccc(cc1)O
22,hydroxyl,toluene,0.16438931714897906,0.01030996976732494,0.1418602579479043,0.0035033120461494586,1.219321746139683,0.601271641054444,1.2993801454501075,0.05092346538910888,O,Cc1ccccc1
23,hydroxyl,phenol,0.13788080629552638,0.011654727558404927,0.14526137926497001,0.0011324684481928105,6.3719525126470025,0.34924829305004107,2.8078417006913448,0.250788072366216,O,c1ccc(cc1)O
24,cyclopropyl,toluene,0.1517402437886833,0.007903473689871746,0.1363462504083996,0.0022079001596110323,0.7085140940909667,0.09679195795843305,0.7680418294876292,0.0460157592470643,C1CC1,Cc1ccccc1
25,cyclopropyl,phenol,0.14716121277268315,0.004215198309654332,0.13390805332533184,0.0026261385285921758,0.8987536348245082,0.06808445980167001,0.902011281060372,0.10354025325584003,C1CC1,c1ccc(cc1)O
26,pyrrole,toluene,0.13187510032464536,0.0018384969981910355,0.1260518182377973,0.0017505040685038956,1.3508397384477353,0.24526679563727818,1.4011513103787823,0.0659576945871939,C1=CNC=C1,Cc1ccccc1
28,methoxy,toluene,0.1459698341300271,0.01772872001179789,0.13412268240651343,0.001809401279068263,1.4059149508210442,0.5672477493015369,1.0053502254335693,0.037534880783966586,OC,Cc1ccccc1
29,methoxy,phenol,0.1389602673590092,0.006448666796778924,0.13423676477027985,0.0020980016639549535,3.336702387349462,0.12237860531801414,2.194504462654625,0.2911435355644623,OC,c1ccc(cc1)O
30,cyano,toluene,0.12751155644137666,0.012498610441559074,0.11085053794628094,0.005761017738144275,0.7728623354437665,0.23484281541812851,1.4830006725254168,0.07521565249111738,C#N,Cc1ccccc1
31,cyano,phenol,0.1129408721812296,0.016095893535694406,0.11170111259399854,0.005974673484584565,5.345544827125991,0.09632811334319934,3.0242875659344253,0.5922150593496918,C#N,c1ccc(cc1)O
